xm,bj,xb,yw,sx,wy,zz,ls,dl,wl,hx,sw,wlfk,zcj
钱芸琪,1103,女,90,73,83,93,91,96,83,90,82,文科,781
鲍翠莲,1103,女,86,83,84,90,96,92,81,90,79,文科,781
印文静,1103,女,82,83,86,91,91,94,83,84,84,文科,778
安云,1103,女,83,88,81,95,89,90,75,94,82,文科,777
柳红花,1103,女,86,77,84,92,94,98,87,90,69,文科,777
席晓娟,1103,女,86,76,87,87,79,94,91,94,82,文科,776
宋秀凤,1103,女,87,89,82,98,90,94,71,90,74,文科,775
蓬悦,1103,女,85,85,90,94,74,94,73,92,86,文科,773
姚玉凤,1103,女,86,85,84,95,81,90,84,82,86,文科,773
邹发明,1103,男,80,75,92,93,95,81,82,88,85,文科,771
艾虞胜,1103,男,92,79,90,96,74,95,67,94,81,文科,768
贾玉琴,1103,女,90,68,89,89,93,88,70,94,86,文科,767
李华,1103,女,94,80,88,98,82,86,69,88,82,文科,767
柳安明,1103,男,84,65,87,92,87,94,74,98,85,文科,766
酆春林,1103,女,88,65,81,86,87,92,84,90,91,文科,764
富彩花,1103,女,87,77,85,94,84,94,78,92,73,文科,764
蒙竣,1103,男,77,85,76,95,92,98,72,86,81,文科,762
宰丹,1103,女,86,86,84,97,80,88,84,90,66,文科,761
邴德东,1103,男,91,65,69,87,96,90,79,96,82,文科,755
陈敦云,1103,男,82,72,71,91,91,92,81,92,81,文科,753
曹显东,1103,男,83,81,80,92,81,80,90,80,83,文科,750
汪建新,1103,男,87,72,92,86,83,93,78,88,71,文科,750
巴春辛,1103,男,84,76,82,96,86,82,74,88,81,文科,749
连阳鹏,1103,男,84,84,72,95,93,94,67,80,77,文科,746
梁辉,1103,男,84,72,81,96,94,92,68,88,71,文科,746
单琴,1103,女,87,68,95,92,88,94,64,84,67,文科,739
童海花,1103,女,82,75,82,90,91,90,59,80,84,文科,733
邱阳燕青,1103,女,89,73,79,88,87,90,53,84,83,文科,726
詹星星,1103,女,80,73,78,84,78,88,90,82,73,文科,726
通诗兰,1103,女,86,74,77,93,83,79,80,88,66,文科,726
桂声诗,1103,男,82,71,67,83,75,94,80,82,89,文科,723
贝李华,1103,男,76,55,84,92,84,90,85,80,75,文科,721
艾春莲,1103,女,86,59,87,89,85,92,73,74,68,文科,713
羊忠健,1103,男,79,73,82,78,80,88,79,84,69,文科,712
单素英,1103,女,86,61,84,93,82,84,61,86,70,文科,707
汪春海,1103,男,75,82,76,87,79,94,79,68,65,文科,705
裴福文,1103,男,81,68,80,92,97,78,64,76,61,文科,697
潘鹏飞,1103,男,75,72,83,83,63,92,74,80,72,文科,694
鲍阳刘琪,1103,女,86,71,89,89,67,90,51,74,74,文科,691
宦琳,1103,女,78,67,79,87,75,80,63,82,73,文科,684
班永萍,1103,女,85,63,76,88,68,80,61,82,73,文科,676
叶田甜,1103,男,69,62,69,82,85,94,48,90,63,文科,662
谭思缘,1103,女,87,67,64,85,76,88,37,74,69,文科,647
赖旺,1103,男,65,26,53,87,91,96,21,56,58,文科,553
劳宇,1104,女,88,94,93,99,92,100,94,98,97,文科,855
韦佐,1104,女,92,84,96,97,98,94,91,98,94,文科,844
祝友香,1104,女,88,88,95,96,84,95,98,98,88,文科,830
姬斯远,1104,男,86,84,88,94,96,98,82,100,96,文科,824
富双枝,1104,女,91,92,96,90,91,94,91,90,87,文科,822
尚瑞英,1104,女,86,78,89,91,97,100,83,98,97,文科,819
窦鹏,1104,男,87,93,88,91,80,92,98,98,91,文科,818
盛慧,1104,女,94,92,91,92,86,98,85,96,80,文科,814
郝沙沙,1104,女,86,84,83,95,91,91,94,100,89,文科,813
戎晓苑,1104,女,90,95,92,95,89,90,82,94,86,文科,813
万娟,1104,女,86,93,89,98,96,88,84,96,82,文科,812
通楠,1104,女,92,83,88,95,91,92,86,92,92,文科,811
贲丽,1104,女,89,89,93,97,93,98,73,92,87,文科,811
解潇,1104,男,90,94,95,91,96,94,89,86,76,文科,811
余建宇,1104,男,84,94,93,93,95,90,90,90,81,文科,810
季发勇,1104,男,86,74,88,94,94,100,88,94,84,文科,802
穆映雪,1104,女,89,84,95,93,87,96,89,92,75,文科,800
池达,1104,男,84,95,85,90,89,94,89,84,88,文科,798
弓怀,1104,男,92,95,81,95,95,94,76,88,81,文科,797
班浩宇,1104,男,89,78,90,92,93,92,68,98,92,文科,792
窦晓航,1104,男,86,77,90,73,95,95,92,94,89,文科,791
路华,1104,男,89,88,82,92,94,92,88,80,82,文科,787
单媛,1104,女,86,84,86,93,91,92,78,88,81,文科,779
邢陈鑫昱,1104,男,88,88,80,95,95,92,63,94,83,文科,778
雷永新,1104,男,85,81,92,95,86,90,81,92,76,文科,778
昌林清,1104,男,86,97,86,93,94,96,63,88,74,文科,777
井晓薇,1104,女,89,91,82,90,88,82,77,92,85,文科,776
和家伟,1104,男,92,67,90,92,98,94,61,96,85,文科,775
家心雨,1104,女,92,85,83,92,92,90,79,86,76,文科,775
胡雯静,1104,女,86,89,92,90,81,88,75,90,83,文科,774
申素平,1104,女,88,71,88,94,83,94,84,90,81,文科,773
